name,week,year,pass_yards,pass_tds,rush_attempts,rush_yards,rush_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,interceptions,fantasy_points,game_played,rostered_percent
Josh Allen (BUF),1,2025,394,2,14,30,2,0,0,0,0,0,0,38.8,1,99.70%
Daniel Jones (IND),1,2025,272,1,7,26,2,0,0,0,0,0,0,29.5,1,58.50%
Justin Fields (NYJ),1,2025,218,1,12,48,2,0,0,0,0,0,0,29.5,1,87.90%
Lamar Jackson (BAL),1,2025,209,2,6,70,1,0,0,0,0,0,0,29.4,1,99.80%
Justin Herbert (LAC),1,2025,318,3,7,32,0,0,0,0,0,0,0,27.9,1,93.30%
Patrick Mahomes II (KC),1,2025,258,1,6,57,1,0,0,0,0,0,0,26,1,98.90%
Aaron Rodgers (PIT),1,2025,244,4,1,-1,0,0,0,0,0,0,0,25.7,1,19.20%
Jalen Hurts (PHI),1,2025,152,0,14,62,2,0,0,0,0,0,0,24.3,1,99.70%
Caleb Williams (CHI),1,2025,210,1,6,58,1,0,0,0,0,0,0,24.2,1,79.00%
Michael Penix Jr. (ATL),1,2025,298,1,6,21,1,0,0,0,0,0,0,24,1,21.60%
J.J. McCarthy (MIN),1,2025,143,2,2,25,1,0,0,0,0,0,1,23.2,1,31.40%
Baker Mayfield (TB),1,2025,167,3,5,39,0,0,0,0,0,0,0,22.6,1,96.60%
Jayden Daniels (WAS),1,2025,233,1,11,68,0,0,0,0,0,0,0,20.1,1,98.90%
Brock Purdy (SF),1,2025,277,2,5,17,0,0,0,0,0,0,2,18.8,1,78.70%
Geno Smith (LV),1,2025,362,1,2,10,0,0,0,0,0,0,1,18.5,1,29.00%
Kyler Murray (ARI),1,2025,163,2,7,38,0,0,0,0,0,0,0,18.3,1,90.50%
Drake Maye (NE),1,2025,287,1,4,11,0,0,0,0,0,0,1,16.3,1,87.00%
Jordan Love (GB),1,2025,188,2,3,4,0,0,0,0,0,0,0,15.9,1,77.30%
Joe Flacco (CIN),1,2025,290,1,2,6,0,0,0,0,0,0,2,14.2,1,2.70%
Matthew Stafford (LAR),1,2025,245,1,4,-2,0,0,0,0,0,0,0,13.6,1,58.30%
Jared Goff (DET),1,2025,225,1,1,-1,0,0,0,0,0,0,1,11.9,1,87.50%
Spencer Rattler (NO),1,2025,214,0,4,29,0,0,0,0,0,0,0,11.5,1,6.30%
Trevor Lawrence (JAC),1,2025,178,1,4,12,0,0,0,0,0,0,1,11.3,1,32.90%
Russell Wilson (NYG),1,2025,168,0,8,44,0,0,0,0,0,0,0,11.1,1,4.40%
Bryce Young (CAR),1,2025,154,1,5,40,0,0,0,0,0,1,2,10.2,1,23.60%
C.J. Stroud (HOU),1,2025,188,0,5,32,0,0,0,0,0,0,1,9.7,1,65.60%
Bo Nix (DEN),1,2025,176,1,8,18,0,0,0,0,0,1,2,8.8,1,89.20%
Joe Burrow (CIN),1,2025,113,1,2,3,0,0,0,0,0,0,0,8.8,1,77.30%
Dak Prescott (DAL),1,2025,188,0,1,3,0,0,0,0,0,0,0,7.8,1,86.90%
Tua Tagovailoa (MIA),1,2025,114,1,1,7,0,0,0,0,0,1,2,7.3,1,27.50%
Sam Darnold (SEA),1,2025,150,0,2,14,0,0,0,0,0,1,0,5.4,1,23.00%
Cam Ward (TEN),1,2025,112,0,0,0,0,0,0,0,0,1,0,2.5,1,14.90%
Zach Wilson (MIA),1,2025,32,0,1,3,0,0,0,0,0,0,0,1.6,1,0.60%
Jalen Milroe (SEA),1,2025,0,0,1,1,0,0,0,0,0,0,0,0.1,1,1.40%
Kenny Pickett (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Davis Mills (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Emory Jones (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Adrian Martinez (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Sam Howell (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Kyle McCord (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Tyler Shough (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50%
DJ Uiagalelei (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Will Levis (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Malik Cunningham (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Mac Jones (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80%
Feleipe Franks (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Trey Lance (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Sam Ehlinger (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Sean Clifford (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80%
Dillon Gabriel (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60%
Kedon Slovis (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jaxson Dart (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,46.30%
Carter Bradley (JAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tommy DeVito (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Joe Milton III (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Shedeur Sanders (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60%
Will Howard (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Kurtis Rourke (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Max Brosmer (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Greene (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
